SYMBOL,Time,OMDSEQ,ASK_SIZE,ASK_PRICE,BID_SIZE,BID_PRICE
AA,2015-01-03 09:35:32.427751,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.427773,1,5,23.91,5,23.79
AA,2015-01-03 09:35:32.427811,2,3,23.91,8,23.79
AA,2015-01-03 09:35:32.427833,3,8,23.91,8,23.79
AA,2015-01-03 09:35:32.428019,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.428040,1,1,25.0,1,22.74
AA,2015-01-03 09:35:32.428086,2,8,23.91,3,23.79
AA,2015-01-03 09:35:32.428108,3,3,23.91,3,23.79
AA,2015-01-03 09:35:32.430270,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.430299,1,5,23.91,5,23.79
AA,2015-01-03 09:35:32.430330,2,3,23.91,8,23.79
AA,2015-01-03 09:35:32.430350,3,8,23.91,8,23.79
AA,2015-01-03 09:35:32.490608,0,1,25.0,5,23.79
AA,2015-01-03 09:35:32.490628,1,1,25.0,1,22.74
AA,2015-01-03 09:35:32.490720,2,3,23.91,8,23.79
AA,2015-01-03 09:35:32.490739,3,3,23.91,3,23.79
AA,2015-01-03 09:35:33.139421,0,1,25.0,5,23.79
AA,2015-01-03 09:35:33.139438,1,5,23.91,5,23.79
AA,2015-01-03 09:35:33.139536,2,3,23.91,8,23.79
AA,2015-01-03 09:35:33.139562,3,8,23.91,8,23.79
AA,2015-01-03 09:35:33.140136,0,1,25.0,5,23.79
AA,2015-01-03 09:35:33.140171,1,1,25.0,1,22.74
AA,2015-01-03 09:35:33.140242,2,8,23.91,3,23.79
AA,2015-01-03 09:35:33.140264,3,3,23.91,3,23.79
AA,2015-01-03 09:35:33.297782,0,3,23.91,8,23.79
AA,2015-01-03 09:35:33.297806,1,8,23.91,8,23.79
AA,2015-01-03 09:35:33.298639,0,5,23.91,5,23.79
AA,2015-01-03 09:35:34.034264,0,1,25.0,5,23.79
AA,2015-01-03 09:35:34.034289,1,1,25.0,1,22.74
AA,2015-01-03 09:35:34.034457,2,3,23.91,8,23.79
AA,2015-01-03 09:35:34.034473,3,3,23.91,3,23.79
AA,2015-01-03 09:35:34.037230,0,5,23.91,1,22.74
AA,2015-01-03 09:35:34.037248,1,5,23.91,5,23.79
AA,2015-01-03 09:35:34.037260,2,3,23.91,8,23.79
AA,2015-01-03 09:35:34.037273,3,8,23.91,8,23.79
AA,2015-01-03 09:35:34.103255,0,1,25.0,5,23.79
AA,2015-01-03 09:35:34.103273,1,1,25.0,1,22.74
AA,2015-01-03 09:35:34.103364,2,8,23.91,3,23.79
AA,2015-01-03 09:35:34.103387,3,3,23.91,3,23.79
AA,2015-01-03 09:35:34.104087,0,5,23.91,5,23.79
AA,2015-01-03 09:35:34.104194,1,3,23.91,8,23.79
AA,2015-01-03 09:35:34.104216,2,8,23.91,8,23.79
AA,2015-01-03 09:35:35.553923,0,3,23.91,8,23.79
AA,2015-01-03 09:35:35.553964,1,3,23.91,3,23.79
AA,2015-01-03 09:35:35.554114,0,1,25.0,1,22.74
AA,2015-01-03 09:35:35.559467,0,1,25.0,5,23.79
AA,2015-01-03 09:35:35.559591,1,8,23.91,3,23.79
AA,2015-01-03 09:35:35.559591,2,8,23.91,8,23.79
AA,2015-01-03 09:35:35.565284,0,1,25.0,1,22.74
AA,2015-01-03 09:35:35.565708,1,3,23.91,8,23.79
AA,2015-01-03 09:35:35.565732,2,3,23.91,3,23.79
AA,2015-01-03 09:35:35.581034,0,1,25.0,5,23.79
AA,2015-01-03 09:35:35.581157,1,3,23.91,8,23.79
AA,2015-01-03 09:35:35.581229,2,8,23.91,8,23.79
AA,2015-01-03 09:35:35.585892,0,1,25.0,1,22.74
AA,2015-01-03 09:35:35.586004,0,3,23.91,8,23.79
AA,2015-01-03 09:35:35.586029,1,3,23.91,3,23.79
AA,2015-01-03 09:35:37.901210,0,1,25.0,5,23.79
AA,2015-01-03 09:35:37.901349,1,3,23.91,8,23.79
AA,2015-01-03 09:35:37.901372,2,8,23.91,8,23.79
AA,2015-01-03 09:35:37.931976,0,1,25.0,1,22.74
AA,2015-01-03 09:35:37.932077,0,8,23.91,3,23.79
AA,2015-01-03 09:35:37.932102,1,3,23.91,3,23.79
AA,2015-01-03 09:35:37.932854,2,1,25.0,5,23.79
AA,2015-01-03 09:35:37.932955,3,3,23.91,8,23.79
AA,2015-01-03 09:35:37.932977,4,8,23.91,8,23.79
